Country,State,Date,Total_Recovered_Cases_by_state,Total_Confirmed_Cases_by_state,Total_death_Cases_by_state,continent,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million
Afghanistan,,2020-01-22,0.0,0.0,0.0,Asia,0.0,0.0,0.0,0.0,0.0
Albania,,2020-01-22,0.0,0.0,0.0,,,,,,
Algeria,,2020-01-22,0.0,0.0,0.0,Africa,0.0,0.0,0.0,0.0,0.0
Andorra,,2020-01-22,0.0,0.0,0.0,,,,,,
Angola,,2020-01-22,0.0,0.0,0.0,,,,,,
Antigua and Barbuda,,2020-01-22,0.0,0.0,0.0,,,,,,
Argentina,,2020-01-22,0.0,0.0,0.0,,,,,,
Armenia,,2020-01-22,0.0,0.0,0.0,Asia,0.0,0.0,0.0,0.0,0.0
Australia,Australian Capital Territory,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,New South Wales,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,Northern Territory,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,Queensland,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,South Australia,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,Tasmania,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,Victoria,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Australia,Western Australia,2020-01-22,0.0,0.0,0.0,Oceania,0.0,0.0,0.0,0.0,0.0
Austria,,2020-01-22,0.0,0.0,0.0,Europe,0.0,0.0,0.0,0.0,0.0
Azerbaijan,,2020-01-22,0.0,0.0,0.0,Asia,0.0,0.0,0.0,0.0,0.0
Bahamas,,2020-01-22,0.0,0.0,0.0,,,,,,
Bahrain,,2020-01-22,0.0,0.0,0.0,Asia,0.0,0.0,0.0,0.0,0.0
Bangladesh,,2020-01-22,0.0,0.0,0.0,,,,,,
Barbados,,2020-01-22,0.0,0.0,0.0,,,,,,
Belarus,,2020-01-22,0.0,0.0,0.0,Europe,0.0,0.0,0.0,0.0,0.0
Belgium,,2020-01-22,0.0,0.0,0.0,Europe,0.0,0.0,0.0,0.0,0.0
Benin,,2020-01-22,0.0,0.0,0.0,,,,,,
Bhutan,,2020-01-22,0.0,0.0,0.0,,,,,,
Bolivia,,2020-01-22,0.0,0.0,0.0,,,,,,
Bosnia and Herzegovina,,2020-01-22,0.0,0.0,0.0,,,,,,
Brazil,,2020-01-22,0.0,0.0,0.0,South America,0.0,0.0,0.0,0.0,0.0
Brunei,,2020-01-22,0.0,0.0,0.0,,,,,,
Bulgaria,,2020-01-22,0.0,0.0,0.0,,,,,,
Burkina Faso,,2020-01-22,0.0,0.0,0.0,,,,,,
Cabo Verde,,2020-01-22,0.0,0.0,0.0,,,,,,
Cambodia,,2020-01-22,0.0,0.0,0.0,Asia,0.0,0.0,0.0,0.0,0.0
Cameroon,,2020-01-22,0.0,0.0,0.0,,,,,,
Canada,Alberta,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,British Columbia,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Grand Princess,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Manitoba,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,New Brunswick,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Newfoundland and Labrador,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Nova Scotia,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Ontario,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Prince Edward Island,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Quebec,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Saskatchewan,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Diamond Princess,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Northwest Territories,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Canada,Yukon,2020-01-22,0.0,0.0,0.0,North America,0.0,0.0,0.0,0.0,0.0
Central African Republic,,2020-01-22,0.0,0.0,0.0,,,,,,
Chad,,2020-01-22,0.0,0.0,0.0,,,,,,
Chile,,2020-01-22,0.0,0.0,0.0,,,,,,
China,Anhui,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Beijing,2020-01-22,0.0,14.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Chongqing,2020-01-22,0.0,6.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Fujian,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Gansu,2020-01-22,28.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Guangdong,2020-01-22,0.0,26.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Guangxi,2020-01-22,0.0,2.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Guizhou,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Hainan,2020-01-22,0.0,4.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Hebei,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Heilongjiang,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Henan,2020-01-22,0.0,5.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Hong Kong,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Hubei,2020-01-22,0.0,444.0,17.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Hunan,2020-01-22,0.0,4.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Inner Mongolia,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Jiangsu,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Jiangxi,2020-01-22,0.0,2.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Jilin,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Liaoning,2020-01-22,0.0,2.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Macau,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Ningxia,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Qinghai,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Shaanxi,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Shandong,2020-01-22,0.0,2.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Shanghai,2020-01-22,0.0,9.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Shanxi,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Sichuan,2020-01-22,0.0,5.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Tianjin,2020-01-22,0.0,4.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Tibet,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Xinjiang,2020-01-22,0.0,0.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Yunnan,2020-01-22,0.0,1.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
China,Zhejiang,2020-01-22,0.0,10.0,0.0,Asia,526.0,140.0,17.0,11.0,0.365
Colombia,,2020-01-22,0.0,0.0,0.0,,,,,,
Congo (Brazzaville),,2020-01-22,0.0,0.0,0.0,,,,,,
Congo (Kinshasa),,2020-01-22,0.0,0.0,0.0,,,,,,
Costa Rica,,2020-01-22,0.0,0.0,0.0,,,,,,
Cote d'Ivoire,,2020-01-22,0.0,0.0,0.0,,,,,,
Croatia,,2020-01-22,0.0,0.0,0.0,Europe,0.0,0.0,0.0,0.0,0.0
Diamond Princess,,2020-01-22,0.0,0.0,0.0,,,,,,
Cuba,,2020-01-22,0.0,0.0,0.0,,,,,,
